UserID,CourseID,TimeSpentONCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,CourseCompletion
5618,4,-0.711051469,1.153940497,-0.666926607,-1.697258119,-1.019006168,0
4326,6,-0.787499687,-1.504036719,-0.032340384,-0.84510242,0.525443515,0
5849,5,1.284913555,0.655569769,-0.984219719,0.256967013,0.462646409,1
4992,3,-0.533414825,1.153940497,1.554125175,-1.082803741,1.553454799,1
3866,5,1.484021457,0.987816921,-1.618805942,1.646072,-1.114156756,0
8650,3,1.026665148,0.323322617,0.60224584,-0.315224076,0.899782306,1
4321,2,1.007091871,-0.008924535,-0.984219719,0.839727119,-0.959392548,0
4589,3,-1.340013668,0.987816921,-0.666926607,-0.918999701,-0.793048803,0
4215,4,1.113384529,-0.341171687,-0.349633495,1.078187672,-0.589609577,1
8089,2,1.164593354,0.821693345,1.554125175,-0.751862756,-0.591235628,0
5010,6,0.183297859,-1.171789567,0.60224584,-1.200434125,1.042964607,0
8791,2,-0.806367302,1.153940497,1.236832063,-0.261997204,-1.734195583,0
4101,3,-1.333192678,0.489446193,-1.30151283,-0.43288677,-0.051115794,0
3039,4,-0.577247473,-1.504036719,-0.032340384,1.595820764,0.928352451,1
3379,6,-0.33151938,-0.507295263,-0.666926607,-0.190926546,1.278970162,1
5700,3,-0.438329957,-0.008924535,0.919538951,1.290016633,1.569225057,1
7567,6,-0.486662866,-0.341171687,1.554125175,-0.210397862,-0.236353291,1
8772,5,-0.826929311,0.821693345,0.919538951,-0.738040469,-1.007829241,0
6817,1,-1.371272684,1.652311225,-0.032340384,0.226837627,0.182725959,0
2866,4,0.227528383,-0.673418839,0.919538951,0.460204217,-0.042208166,1
3134,7,1.428006169,0.157199041,1.236832063,0.559171469,0.885155834,1
2716,1,-1.088877114,-0.673418839,-0.349633495,-0.314552962,0.672287018,1
3153,4,-0.886309493,-0.673418839,1.236832063,-0.715007855,-1.482202811,0
6584,5,-0.588060217,-1.171789567,1.236832063,-1.035709053,0.972196089,0
230,3,0.261236073,-1.670160295,-0.032340384,1.199486362,-0.53039722,0
8813,6,-0.576624251,0.323322617,-1.30151283,-1.468113783,1.364394836,1
3103,7,-0.059186101,-1.171789567,0.60224584,-1.690164483,0.020572104,0
1274,4,0.235735229,-0.507295263,0.284952728,0.39019874,0.370023253,1
2398,1,-0.330623605,0.821693345,-1.618805942,-1.372878145,0.225803862,0
8529,3,-1.314133561,-0.673418839,1.236832063,-1.593426498,1.238475744,0
7858,4,0.515130945,0.489446193,0.284952728,1.570382597,0.607857936,1
7050,5,-0.193826493,-0.839542415,0.919538951,0.151389757,-1.133493351,0
1676,2,-0.202439241,0.987816921,1.554125175,-1.604332961,0.103496591,0
4931,3,1.042838747,1.320064073,-0.666926607,0.562526627,0.642981674,1
1847,4,0.562065519,-1.171789567,-0.349633495,-1.399743012,0.301691911,0
6083,3,-0.804837671,1.153940497,-0.666926607,1.061259119,-1.482144162,0
2263,5,-0.698454295,0.157199041,1.554125175,0.775868656,1.522964911,1
8788,6,0.202483822,1.486187649,0.60224584,1.010125581,-1.291236964,0
4546,7,-0.850043599,-0.507295263,0.919538951,0.480868949,-0.589194465,1
6675,2,-0.142607827,1.652311225,-0.032340384,-1.200060546,0.589286442,1
4345,3,-1.238296552,-0.175048111,0.284952728,1.491489063,-0.500125997,0
7918,5,-0.943086627,0.323322617,-1.30151283,-0.003298367,0.356231008,1
3267,6,-0.531309681,0.489446193,0.284952728,-1.458355016,-0.278037363,0
4926,1,0.853345334,-1.337913143,0.60224584,0.335597181,1.018539732,1
3405,1,1.406464525,1.486187649,-0.666926607,0.764701102,-0.112185648,0
99,4,1.622270662,-0.507295263,-1.618805942,-0.318631669,-1.202399088,0
911,4,-1.361868761,-0.673418839,0.919538951,0.572348331,0.17490108,0
8895,3,-1.021961794,-0.507295263,1.554125175,-0.535742171,-1.562869209,1
2218,1,1.570807765,0.489446193,0.919538951,1.529145067,1.049222839,1
3435,1,1.299908826,-1.670160295,1.236832063,-1.018658531,-1.533554765,0
3763,1,-1.06106268,-1.504036719,-0.984219719,-0.586532936,-0.234482392,0
4190,2,0.908011125,0.987816921,1.554125175,-0.340366875,-1.561868339,0
8217,7,1.392533816,-1.337913143,-0.666926607,1.055933489,0.968516885,0
3823,6,-0.479104837,0.489446193,0.60224584,0.258031133,1.21161214,1
3275,7,0.625124334,0.489446193,-1.618805942,1.54268279,-1.56264487,0
2106,2,-1.64622784,-0.341171687,-0.349633495,1.515336043,-0.773010369,0
7257,2,-1.421785879,0.821693345,-1.30151283,-0.262323153,0.392939569,0
8001,1,-0.667826438,-1.005665991,0.919538951,-0.126187138,1.533864283,1
3399,3,1.210329808,0.821693345,0.60224584,1.077865767,-0.197151148,1
3108,3,-0.305030097,-0.507295263,-0.984219719,-1.063579868,1.501993317,0
8761,6,-1.639862432,0.489446193,1.236832063,0.763058365,-1.548406798,1
8781,2,-0.617798673,-0.008924535,-0.349633495,-0.0004261,0.680235934,1
722,5,-0.023112104,-0.008924535,1.554125175,0.203569771,-1.09350964,1
3062,5,1.050970258,-1.337913143,-0.032340384,0.308881982,-1.078599638,0
3097,6,-0.159653665,0.323322617,1.554125175,1.198333591,0.983637026,1
8491,3,-0.41219954,1.153940497,0.919538951,-0.808833298,0.981929485,0
